vertex,group_id,degree,beteweeness,from,to
Film,1,93,213.272607,Microsoft,Demo
Media,2,102,198.328845,Iran,Politics
Energy,3,75,196.259038,Oil,Oceans
Green,3,88,184.695993,Oil,Pollution
Community,0,91,175.806791,Government,Iran
Data,4,82,166.111465,Surgery,Technology
Poverty,2,90,158.351781,Oil,Environment
Society,0,88,154.353575,Novel,Women
Health care,4,90,154.062734,Oil,Disaster relief
Space,4,72,148.066155,Wikipedia,Language
Physics,4,84,147.241452,Wikipedia,Social change
Climate change,3,79,142.840172,Science,Wikipedia
Statistics,2,52,142.721668,Statistics,Global
Youth,0,71,130.764613,Science,Population
Entrepreneur,2,86,128.437123,Microsoft,Photography
Development,2,82,127.631673,Microsoft,Collaboration
Religion,0,65,116.435165,Global issues,Surgery
Demo,4,77,115.187327,Global issues,Population
Peace,2,74,113.051582,Surgery,Poverty
Adventure,4,66,112.422046,Evolution,Charter for compassion
Math,4,71,112.360425,Population,Presentation
Philosophy,0,75,112.0608,Self,Chautauqua
Disease,4,71,109.848103,Novel,Innovation
Oceans,4,75,107.51724,Pollution,Oil
Love,0,62,102.965795,Technology,Iran
Nature,3,74,101.566165,Life,Chautauqua
Architecture,3,76,101.027722,Technology,Policy
Visualizations,4,72,98.629056,Population,TEDx
Sustainability,3,73,93.775807,Oil,TEDx
Food,3,76,92.04431,Novel,Politics
Self,0,57,91.427766,War,Iran
Work,0,56,90.241385,Open-source,Skateboarding
TED Prize,3,69,88.7026,Religion,Population
Law,2,67,87.048679,Peace,Iran
Genetics,4,63,86.435697,Charter for compassion,Chautauqua
Sports,0,70,83.976998,Student,Chemistry
Government,2,60,82.199715,Medicine,Surgery
Violence,2,70,81.473727,Parenting,Student
Sex,3,60,81.167448,Wikipedia,Communication
Leadership,0,64,73.742185,Visualizations,Microsoft
Philanthropy,2,63,72.419222,Consumerism,Shopping
Universe,4,52,70.761981,Media,Wikipedia
Language,0,62,70.232613,Iran,Peace
Open-source,4,61,68.354445,Health care,Surgery
Biodiversity,3,63,67.183821,Wikipedia,Invention
Writing,1,72,64.92848,Children,Student
Robots,4,59,64.541948,Entertainment,Iran
Internet,4,63,62.634605,Nuclear energy,Iran
Alternative energy,3,58,61.962101,Self,Charter for compassion
Consumerism,2,47,61.729207,Computers,Iran
Disaster relief,3,52,61.27227,Oceans,Oil
Social media,2,56,60.999271,Innovation,Skateboarding
MacArthur grant,4,62,59.606431,Social change,Wikipedia
Crime,2,57,58.700157,Student,TED Prize
Book,1,65,53.511125,Shopping,TEDx
Comedy,1,55,52.524663,Invention,Surgery
Transportation,3,58,50.719959,Creativity,Shopping
Beauty,0,53,49.582779,Prediction,Poverty
Inequality,2,53,49.143535,Women,Novel
Faith,0,40,48.060998,Iran,War
Parenting,0,55,47.57744,Presentation,Population
Software,4,59,47.209199,Population,Global issues
Insects,3,51,46.222797,Technology,Wikipedia
Potential,0,39,42.794228,Culture,Wikipedia
Biotech,4,53,42.793692,Wikipedia,Open-source
Cognitive science,0,51,41.327821,Cities,Mobility
Memory,1,48,40.261765,Faith,Chautauqua
Web,4,63,39.605991,Design,Iran
Asia,2,53,39.507603,Wikipedia,Business
Dance,1,52,39.351531,Student,Culture
Cars,3,43,38.816775,Iran,Design
Success,0,37,38.566956,Population,Religion
Poetry,1,58,37.371276,Prediction,Economics
Third world,2,54,35.766269,Wikipedia,Culture
Feminism,2,43,34.733399,Communication,Wikipedia
Astronomy,4,45,34.691103,Wikipedia,Google
Neuroscience,0,40,32.977279,Novel,Science
Identity,0,43,32.319253,Technology,Student
Gaming,1,52,31.869851,Culture,Prediction
Body language,0,35,31.719926,Love,Chautauqua
Choice,0,45,31.548908,Collaboration,Wikipedia
Live music,1,47,31.314807,Robots,Shopping
Race,1,43,31.303668,Shopping,Consumerism
Anthropology,0,38,31.101498,Policy,Work
Intelligence,4,41,30.392346,Skateboarding,TEDx
Motivation,0,44,30.268442,TED Prize,Student
Death,0,43,29.427893,Chautauqua,Faith
Personal growth,0,51,29.081646,Student,Math
Middle East,2,40,28.940979,Surgery,Medicine
Prosthetics,4,41,28.887118,Oil,Global issues
Compassion,0,35,27.954653,Iran,TEDx
Urban planning,3,46,27.655286,Business,Wikipedia
AI,4,35,27.393203,Charter for compassion,Religion
Materials,4,47,27.207832,Demo,Prediction
Mental health,0,49,25.062991,Student,Failure
Buddhism,0,29,24.602002,Chautauqua,Global issues
DNA,4,43,24.596502,Wikipedia,Science
Military,2,35,23.478931,Novel,Culture
Ancient world,1,39,23.457607,Men,Policy
Water,3,39,22.372181,Wikipedia,Entertainment
Democracy,2,39,21.939991,Technology,Novel
Bacteria,4,38,21.251148,Wikipedia,Media
Money,2,36,20.756845,Web,Wikipedia
Senses,4,36,20.631673,Demo,Microsoft
God,0,35,20.10736,Design,Mobility
Complexity,4,41,20.075596,Wikipedia,Humanity
Drones,4,38,19.33964,Microsoft,Design
Interview,1,40,19.249141,TEDx,Wikipedia
Terrorism,2,42,19.130108,Innovation,Novel
Industrial design,4,37,19.069232,Education,Prediction
Marketing,2,42,18.604634,Computers,Wikipedia
Biosphere,3,41,18.503222,Compassion,Chautauqua
Performance art,1,30,18.16456,Technology,Prediction
United States,1,36,18.039047,Novel,Collaboration
Depression,0,36,17.819369,Student,Youth
Garden,3,42,17.774346,Social media,Policy
Agriculture,3,35,17.724227,Charter for compassion,Faith
Gender,0,40,17.606309,Politics,Prediction
AIDS,2,40,17.581387,Culture,Charter for compassion
Relationships,0,40,17.510216,Poverty,Prediction
Productivity,0,25,17.364882,Chemistry,Student
Medical research,4,36,17.333649,Oil,Energy
Big problems,2,39,16.983633,Wikipedia,Global issues
Library,1,44,16.430287,Novel,Storytelling
Piano,1,25,16.128405,Business,Shopping
Mind,0,36,15.724292,Chautauqua,Life
Disability,0,32,15.707211,Student,Science
Pollution,3,37,15.538368,Sustainability,Oil
Online video,1,43,15.448658,Prediction,Innovation
Simplicity,4,41,15.297939,Google,Wikipedia
Europe,2,34,15.26554,Software,Microsoft
Journalism,2,41,15.041016,Data,Prediction
Planets,4,27,14.976616,Wikipedia,Economics
Map,4,29,14.70383,Health,Population
World cultures,2,34,14.493501,Collaboration,Microsoft
Illness,4,33,14.330375,Failure,Student
Fear,0,33,14.192065,Education,Student
Goal-setting,0,35,14.182556,Chautauqua,Self
Interface design,4,38,13.750061,TEDx,Skateboarding
Presentation,4,35,13.591662,Technology,Surgery
Flight,4,28,12.714944,Microsoft,Technology
Iraq,2,28,12.681477,Technology,Microsoft
Women in business,2,35,12.118604,Invention,Wikipedia
Product design,4,39,11.915322,Global issues,Oil
Investment,2,36,11.838003,Photography,Microsoft
Sight,4,31,11.550969,Mobility,Design
Time,4,30,11.230401,Wikipedia,Law
Hack,4,30,11.066296,Chautauqua,Charter for compassion
NASA,4,25,10.811167,Work,Policy
Chemistry,4,29,10.603055,Culture,Population
Corruption,2,29,10.565547,Design,Microsoft
Consciousness,0,32,10.103916,Mobility,Cities
Egypt,2,31,9.819639,Prediction,Interface design
China,2,39,9.610243,Math,Prediction
Smell,4,30,9.161564,Wikipedia,Computers
Paleontology,4,22,9.134943,Cars,Mobility
Cancer,4,31,9.076106,Wikipedia,Web
Fashion,0,27,9.004294,Policy,Foreign Policy
Illusion,1,32,8.919789,Prediction,Nanoscale
Security,4,28,8.735836,Chautauqua,Compassion
Aging,4,31,8.710321,Charter for compassion,Culture
Guitar,1,21,8.186915,Science,Prediction
Fish,4,35,8.129301,Policy,Global issues
LGBT,0,22,8.121997,TEDx,Student
Cosmos,4,29,7.937268,Internet,Wikipedia
Theater,1,30,7.778032,Prediction,Business
Decision-making,0,25,7.651869,Entertainment,Wikipedia
Latin America,3,31,7.55495,Prediction,Global issues
Play,4,40,7.378373,Wikipedia,Technology
Behavioral economics,0,20,7.344623,Open-source,Wikipedia
Public health,4,34,7.18848,Novel,Technology
Google,2,30,7.158139,Middle East,Iran
Sociology,0,28,7.115313,Student,Success
Plastic,3,29,6.769201,Economics,Prediction
Singer,1,25,6.667707,Prediction,Politics
Yesallwomen,2,21,6.27093,Cooperation,Wikipedia
Trees,3,32,6.197159,Chautauqua,Love
Men,2,19,6.113184,Collaboration,Skateboarding
Bees,3,26,5.976358,Policy,Social media
Morality,0,25,5.877788,Storytelling,Novel
Prison,2,25,5.870556,Culture,Student
Toy,4,30,5.837379,Policy,Technology
Cooperation,3,21,5.254242,Iran,Government
Policy,2,14,5.187362,Skateboarding,Innovation
Weather,3,23,5.090759,Future,Prediction
Literature,1,35,5.066608,Policy,Business
Biomechanics,4,24,4.827415,Computers,Prediction
Submarine,4,22,4.760213,Policy,Government
State-building,2,25,4.694222,TEDx,Shopping
Microbiology,4,23,4.548553,Intelligence,Prediction
Telecom,2,26,4.53583,Foreign Policy,Policy
Protests,2,24,4.505047,Wikipedia,Collaboration
TEDBooks,4,27,4.376781,Wikipedia,TEDx
Brazil,3,27,4.307296,Interface design,Prediction
Natural disaster,3,18,4.304706,Collaboration,Novel
Extraterrestrial life,4,19,4.249738,Language,Wikipedia
Rocket science,4,22,4.2098,Life,Charter for compassion
Monkeys,0,16,4.197604,Student,Storytelling
News,2,23,3.951842,Culture,Novel
Solar energy,3,25,3.821249,Policy,Democracy
Biomimicry,4,28,3.790326,Privacy,Policy
Curiosity,4,24,3.755529,Charter for compassion,Life
Foreign Policy,2,15,3.69936,Surgery,Medical research
String theory,4,22,3.685019,Law,Wikipedia
New York,1,23,3.642486,Women,Policy
Bullying,2,19,3.590043,Prediction,Demo
Spoken word,1,23,3.524638,Prediction,Education
Failure,0,20,3.451227,Population,Data
Finance,2,17,3.357045,Global issues,Wikipedia
Birds,3,27,3.282488,Charter for compassion,Science
Mission blue,4,19,3.268392,Policy,Statistics
Human origins,4,18,3.249297,Charter for compassion,Business
Neurology,0,20,3.140063,Mobility,Technology
Nanoscale,4,20,3.096421,Comedy,Iran
Iran,2,15,3.011721,Surgery,Product design
Sound,4,19,2.908663,Prediction,Presentation
Wind energy,3,19,2.761067,Inequality,Policy
Privacy,4,13,2.758642,Skateboarding,Collaboration
Vocals,1,12,2.697616,War,Prediction
Extreme sports,0,15,2.595567,Chautauqua,Religion
Meme,0,21,2.595217,Policy,Men
Prediction,4,20,2.577498,Iran,Comedy
Charter for compassion,0,12,2.441086,Iran,Technology
Aircraft,4,18,2.405924,Global issues,Charter for compassion
Origami,1,8,2.396831,Prediction,Computers
Wunderkind,1,15,2.380113,Shopping,Technology
Conducting,1,21,2.361541,Prediction,Math
Heart health,4,23,2.349365,Student,Education
Islam,2,17,2.342672,Nanoscale,Prediction
Wikipedia,0,23,2.270829,Global issues,Iran
Advertising,2,21,2.206311,Business,Charter for compassion
Speech,4,18,1.917143,Prediction,Technology
Obesity,3,21,1.901778,Politics,Novel
Mining,4,12,1.889589,Charter for compassion,Compassion
Big bang,4,16,1.886772,Humanity,Wikipedia
Atheism,0,17,1.799364,Prediction,Culture
Algorithm,4,16,1.76444,Love,Charter for compassion
Nuclear energy,4,13,1.740472,Poverty,Surgery
Epidemiology,4,17,1.718667,Technology,Shopping
Christianity,0,15,1.702161,Prediction,Data
Museums,1,20,1.664524,Policy,Inequality
Composing,1,12,1.480001,Presentation,Prediction
Apes,4,15,1.385888,Government,Policy
Virus,4,15,1.351823,Prediction,Intelligence
Violin,1,16,1.271398,Shopping,Business
Microfinance,2,19,1.24305,Religion,Charter for compassion
Magic,1,22,1.1977,Business,Prediction
Student,3,14,1.138363,Population,Science
Slavery,2,15,1.127618,Community,Wikipedia
Exoskeleton,4,9,1.043646,Student,Technology
Pain,0,9,0.924101,Youth,Student
Cyborg,4,13,0.923363,Politics,Policy
Deextinction,4,15,0.918613,Business,Policy
Primates,3,17,0.892619,Compassion,Charter for compassion
Geology,4,10,0.784877,Economics,Wikipedia
Trafficking,2,14,0.784327,Wikipedia,Community
Cello,1,6,0.734113,Prediction,War
Empathy,0,13,0.726087,Success,Student
Vaccines,4,16,0.719043,Faith,Charter for compassion
Evil,0,14,0.633181,Storytelling,Student
Dark matter,4,14,0.612334,Wikipedia,Internet
Botany,3,13,0.599542,Policy,Privacy
Nuclear weapons,3,12,0.568394,Democracy,Policy
Typography,1,14,0.467713,Global issues,Prediction
Surgery,4,12,0.255456,Oil,Green
Solar,3,12,0.237052,Science,Charter for compassion
Microsoft,4,8,0.205263,Population,Health
One Laptop Per Child,2,15,0.159338,Charter for compassion,Self
Ants,3,11,0.087119,Statistics,Policy
Population,0,8,0.08547,Surgery,TEDx
Chautauqua,0,8,0.076316,TEDx,Iran
Novel,2,8,0.035481,Design,Surgery
Oil,3,10,0.018519,TEDx,Oil
Glacier,1,7,0.016393,Prediction,Future
Global,2,2,0,Global,Statistics
Skateboarding,4,4,0,Surgery,Health care
Mobility,3,4,0,Iran,Science
Shopping,2,6,0,Iran,Entertainment
Debate,2,3,0,Microsoft,Software
Brand,1,4,0,Map,Microsoft
Books,3,2,0,Student,Children
Mindfulness,0,9,0,Religion,Chautauqua
Meditation,0,9,0,Global issues,Chautauqua
Dinosaurs,4,4,0,Mobility,Cars
Pandemic,4,7,0,Policy,Politics
Jazz,1,7,0,Charter for compassion,Love
Cloud,4,5,0,Charter for compassion,Global issues
Moon,4,9,0,Charter for compassion,Evolution
,,,,Sustainability,Obesity
,,,,Social change,Obesity
,,,,Science,Obesity
,,,,Obesity,TEDx
,,,,Obesity,Sustainability
,,,,Obesity,Social change
,,,,Obesity,Science
,,,,Obesity,Medicine
,,,,Obesity,Medical research
,,,,Obesity,Health care
,,,,Obesity,Health
,,,,Obesity,Green
,,,,Obesity,Global issues
,,,,Obesity,Environment
,,,,Obesity,Education
,,,,Obesity,Culture
,,,,Obesity,Cities
,,,,Obesity,Business
,,,,Medicine,Obesity
,,,,Medical research,Obesity
,,,,Health care,Obesity
,,,,Health,Obesity
,,,,Green,Obesity
,,,,Global issues,Obesity
,,,,Environment,Obesity
,,,,Education,Obesity
,,,,Culture,Obesity
,,,,Cities,Obesity
,,,,Business,Obesity
,,,,Society,Obesity
,,,,Obesity,Society
,,,,Public health,Obesity
,,,,Obesity,Public health
,,,,Obesity,Neuroscience
,,,,Neuroscience,Obesity
,,,,Obesity,Food
,,,,Food,Obesity
,,,,Obesity,Evolution
,,,,Evolution,Obesity
,,,,Obesity,Disease
,,,,Disease,Obesity
,,,,Work,Military
,,,,War,Military
,,,,TEDx,Military
,,,,Technology,Military
,,,,Software,Military
,,,,Science,Military
,,,,Politics,Military
,,,,Peace,Military
,,,,Military,Work
,,,,Military,War
,,,,Military,TEDx
,,,,Military,Technology
,,,,Military,Software
,,,,Military,Science
,,,,Military,Politics
,,,,Military,Peace
,,,,Military,Middle East
,,,,Military,Innovation
,,,,Military,Global issues
,,,,Military,Foreign Policy
,,,,Military,Engineering
,,,,Military,Economics
,,,,Military,Disaster relief
,,,,Military,Culture
,,,,Military,Computers
,,,,Military,Communication
,,,,Military,Collaboration
,,,,Military,Business
,,,,Middle East,Military
,,,,Innovation,Military
,,,,Global issues,Military
,,,,Foreign Policy,Military
,,,,Engineering,Military
,,,,Economics,Military
,,,,Disaster relief,Military
,,,,Culture,Military
,,,,Computers,Military
,,,,Communication,Military
,,,,Collaboration,Military
,,,,Business,Military
,,,,United States,Military
,,,,Military,United States
,,,,Terrorism,Military
,,,,Military,Terrorism
,,,,News,Military
,,,,Military,News
,,,,Natural disaster,Military
,,,,Military,Natural disaster
,,,,Morality,Military
,,,,Military,Morality
,,,,Military,Library
,,,,Library,Military
,,,,Military,Leadership
,,,,Leadership,Military
,,,,Military,Iraq
,,,,Iraq,Military
,,,,Military,Investment
,,,,Investment,Military
,,,,Military,History
,,,,History,Military
,,,,Military,Flight
,,,,Flight,Military
,,,,Military,Entrepreneur
,,,,Entrepreneur,Military
,,,,Military,Drones
,,,,Drones,Military
,,,,Military,Development
,,,,Development,Military
,,,,Military,Corruption
,,,,Corruption,Military
,,,,War,Foreign Policy
,,,,TEDx,Foreign Policy
,,,,Statistics,Foreign Policy
,,,,Politics,Foreign Policy
,,,,Peace,Foreign Policy
,,,,Middle East,Foreign Policy
,,,,Government,Foreign Policy
,,,,Global issues,Foreign Policy
,,,,Foreign Policy,War
,,,,Foreign Policy,TEDx
,,,,Foreign Policy,Statistics
,,,,Foreign Policy,Politics
,,,,Foreign Policy,Peace
,,,,Foreign Policy,Middle East
,,,,Foreign Policy,Government
,,,,Foreign Policy,Global issues
,,,,Foreign Policy,Business
,,,,Business,Foreign Policy
,,,,Iraq,Foreign Policy
,,,,Foreign Policy,Iraq
,,,,World cultures,Foreign Policy
,,,,Foreign Policy,World cultures
,,,,Foreign Policy,Europe
,,,,Europe,Foreign Policy
,,,,Social change,Debate
,,,,Politics,Debate
,,,,Debate,Social change
,,,,Debate,Politics
,,,,Debate,Business
,,,,Business,Debate
,,,,Humor,Brand
,,,,Consumerism,Brand
,,,,Business,Brand
,,,,Brand,Humor
,,,,Brand,Consumerism
,,,,Brand,Business
,,,,Film,Brand
,,,,Brand,Film
,,,,Senses,Pain
,,,,Science,Pain
,,,,Pain,Senses
,,,,Pain,Science
,,,,Pain,Health care
,,,,Pain,Health
,,,,Pain,Culture
,,,,Health care,Pain
,,,,Health,Pain
,,,,Culture,Pain
,,,,Pain,LGBT
,,,,LGBT,Pain
,,,,Pain,Identity
,,,,Identity,Pain
,,,,Pain,Depression
,,,,Depression,Pain
,,,,Pain,Brain
,,,,Brain,Pain
,,,,Technology,Exoskeleton
,,,,Science,Exoskeleton
,,,,Prosthetics,Exoskeleton
,,,,Neuroscience,Exoskeleton
,,,,Exoskeleton,Technology
,,,,Exoskeleton,Science
,,,,Exoskeleton,Prosthetics
,,,,Exoskeleton,Neuroscience
,,,,Exoskeleton,Design
,,,,Exoskeleton,Brain
,,,,Design,Exoskeleton
,,,,Brain,Exoskeleton
,,,,Monkeys,Exoskeleton
,,,,Exoskeleton,Monkeys
,,,,Exoskeleton,Disability
,,,,Disability,Exoskeleton
,,,,Exoskeleton,Dance
,,,,Dance,Exoskeleton
,,,,Society,Evil
,,,,Self,Evil
,,,,Science,Evil
,,,,Peace,Evil
,,,,Global issues,Evil
,,,,Evil,Society
,,,,Evil,Self
,,,,Evil,Science
,,,,Evil,Peace
,,,,Evil,Global issues
,,,,Evil,Education
,,,,Evil,Economics
,,,,Evil,Culture
,,,,Evil,Children
,,,,Evil,Brain
,,,,Education,Evil
,,,,Economics,Evil
,,,,Culture,Evil
,,,,Children,Evil
,,,,Brain,Evil
,,,,Psychology,Evil
,,,,Evil,Psychology
,,,,Prison,Evil
,,,,Evil,Prison
,,,,Motivation,Evil
,,,,Evil,Motivation
,,,,Evil,Crime
,,,,Crime,Evil
,,,,War,Empathy
,,,,TEDx,Empathy
,,,,Society,Empathy
,,,,Psychology,Empathy
,,,,Politics,Empathy
,,,,Iraq,Empathy
,,,,Global issues,Empathy
,,,,Empathy,War
,,,,Empathy,TEDx
,,,,Empathy,Society
,,,,Empathy,Psychology
,,,,Empathy,Politics
,,,,Empathy,Iraq
,,,,Empathy,Global issues
,,,,Empathy,Culture
,,,,Empathy,Compassion
,,,,Empathy,Community
,,,,Empathy,Brain
,,,,Culture,Empathy
,,,,Compassion,Empathy
,,,,Community,Empathy
,,,,Brain,Empathy
,,,,Sociology,Empathy
,,,,Empathy,Sociology
,,,,Happiness,Empathy
,,,,Empathy,Happiness
,,,,Youth,Depression
,,,,Women,Depression
,,,,War,Depression
,,,,TEDx,Depression
,,,,Technology,Depression
,,,,Storytelling,Depression
,,,,Society,Depression
,,,,Social change,Depression
,,,,Self,Depression
,,,,Science,Depression
,,,,Public health,Depression
,,,,Poverty,Depression
,,,,Politics,Depression
,,,,Peace,Depression
,,,,Neuroscience,Depression
,,,,Medicine,Depression
,,,,Life,Depression
,,,,LGBT,Depression
,,,,Identity,Depression
,,,,Health care,Depression
,,,,Health,Depression
,,,,Global issues,Depression
,,,,Entertainment,Depression
,,,,Depression,Youth
,,,,Depression,Women
,,,,Depression,War
,,,,Depression,TEDx
,,,,Depression,Technology
,,,,Depression,Storytelling
,,,,Depression,Society
,,,,Depression,Social change
,,,,Depression,Self
,,,,Depression,Science
,,,,Depression,Public health
,,,,Depression,Poverty
,,,,Depression,Politics
,,,,Depression,Peace
,,,,Depression,Neuroscience
,,,,Depression,Medicine
,,,,Depression,Life
,,,,Depression,LGBT
,,,,Depression,Identity
,,,,Depression,Health care
,,,,Depression,Health
,,,,Depression,Global issues
,,,,Depression,Entertainment
,,,,Depression,Culture
,,,,Depression,Communication
,,,,Culture,Depression
,,,,Communication,Depression
,,,,Depression,Brain
,,,,Brain,Depression
,,,,Psychology,Depression
,,,,Depression,Psychology
,,,,Happiness,Depression
,,,,Depression,Happiness
,,,,Violence,Depression
,,,,Depression,Violence
,,,,Personal growth,Depression
,,,,Depression,Personal growth
,,,,Performance,Depression
,,,,Depression,Performance
,,,,Mental health,Depression
,,,,Depression,Mental health
,,,,Illness,Depression
,,,,Depression,Illness
,,,,Heart health,Depression
,,,,Depression,Heart health
,,,,Fear,Depression
,,,,Depression,Fear
,,,,Creativity,Books
,,,,Children,Books
,,,,Books,Creativity
,,,,Books,Children
,,,,Youth,Success
,,,,TEDx,Success
,,,,TED Prize,Success
,,,,Technology,Success
,,,,Success,Youth
,,,,Success,TEDx
,,,,Success,TED Prize
,,,,Success,Technology
,,,,Success,Storytelling
,,,,Success,Science
,,,,Success,Health
,,,,Success,Entertainment
,,,,Success,Culture
,,,,Storytelling,Success
,,,,Science,Success
,,,,Health,Success
,,,,Entertainment,Success
,,,,Culture,Success
,,,,Success,Math
,,,,Math,Success
,,,,Success,Failure
,,,,Failure,Success
,,,,Success,Education
,,,,Education,Success
,,,,Success,Self
,,,,Self,Success
,,,,Success,Life
,,,,Life,Success
,,,,Success,Business
,,,,Business,Success
,,,,Success,Creativity
,,,,Creativity,Success
,,,,Work,Success
,,,,Success,Work
,,,,Success,Leadership
,,,,Leadership,Success
,,,,Success,Entrepreneur
,,,,Entrepreneur,Success
,,,,Success,Humor
,,,,Humor,Success
,,,,Success,Brain
,,,,Brain,Success
,,,,Success,Psychology
,,,,Psychology,Success
,,,,Success,Motivation
,,,,Motivation,Success
,,,,Success,Happiness
,,,,Happiness,Success
,,,,Success,Personal growth
,,,,Personal growth,Success
,,,,Success,Fear
,,,,Fear,Success
,,,,Writing,Success
,,,,Success,Writing
,,,,Success,Sports
,,,,Sports,Success
,,,,Success,Productivity
,,,,Productivity,Success
,,,,Success,Philosophy
,,,,Philosophy,Success
,,,,Success,Mindfulness
,,,,Mindfulness,Success
,,,,Success,Meditation
,,,,Meditation,Success
,,,,Success,Goal-setting
,,,,Goal-setting,Success
,,,,Success,Extreme sports
,,,,Extreme sports,Success
,,,,Success,Buddhism
,,,,Buddhism,Success
,,,,Success,Body language
,,,,Body language,Success
,,,,Work,Mindfulness
,,,,Productivity,Mindfulness
,,,,Mindfulness,Work
,,,,Mindfulness,Productivity
,,,,Mindfulness,Health
,,,,Mindfulness,Happiness
,,,,Mindfulness,Culture
,,,,Health,Mindfulness
,,,,Happiness,Mindfulness
,,,,Culture,Mindfulness
,,,,Mindfulness,Meditation
,,,,Meditation,Mindfulness
,,,,Mindfulness,Buddhism
,,,,Buddhism,Mindfulness
,,,,Mindfulness,Body language
,,,,Body language,Mindfulness
,,,,Work,Meditation
,,,,Productivity,Meditation
,,,,Meditation,Work
,,,,Meditation,Productivity
,,,,Meditation,Health
,,,,Meditation,Happiness
,,,,Meditation,Culture
,,,,Health,Meditation
,,,,Happiness,Meditation
,,,,Culture,Meditation
,,,,Meditation,Buddhism
,,,,Buddhism,Meditation
,,,,Meditation,Body language
,,,,Body language,Meditation
,,,,War,Prison
,,,,TEDx,Prison
,,,,Storytelling,Prison
,,,,Social change,Prison
,,,,Science,Prison
,,,,Psychology,Prison
,,,,Prison,War
,,,,Prison,TEDx
,,,,Prison,Storytelling
,,,,Prison,Social change
,,,,Prison,Science
,,,,Prison,Psychology
,,,,Prison,Politics
,,,,Prison,Peace
,,,,Prison,Law
,,,,Prison,Government
,,,,Prison,Global issues
,,,,Prison,Environment
,,,,Prison,Education
,,,,Prison,Culture
,,,,Prison,Children
,,,,Prison,Business
,,,,Politics,Prison
,,,,Peace,Prison
,,,,Law,Prison
,,,,Government,Prison
,,,,Global issues,Prison
,,,,Environment,Prison
,,,,Education,Prison
,,,,Culture,Prison
,,,,Children,Prison
,,,,Business,Prison
,,,,Prison,Crime
,,,,Crime,Prison
,,,,Prison,Philosophy
,,,,Philosophy,Prison
,,,,Trees,Prison
,,,,Prison,Trees
,,,,Prison,Nature
,,,,Nature,Prison
,,,,Prison,Mind
,,,,Mind,Prison
,,,,Prison,Memory
,,,,Memory,Prison
,,,,Prison,Death
,,,,Death,Prison
,,,,Prison,Biosphere
,,,,Biosphere,Prison
,,,,TEDx,Privacy
,,,,Technology,Privacy
,,,,Social media,Privacy
,,,,Privacy,TEDx
,,,,Privacy,Technology
,,,,Privacy,Social media
,,,,Privacy,Health
,,,,Privacy,Data
,,,,Privacy,Communication
,,,,Privacy,Business
,,,,Health,Privacy
,,,,Data,Privacy
,,,,Communication,Privacy
,,,,Business,Privacy
,,,,Privacy,Disease
,,,,Disease,Privacy
,,,,Security,Privacy
,,,,Privacy,Security
,,,,Privacy,Hack
,,,,Hack,Privacy
,,,,Privacy,Genetics
,,,,Genetics,Privacy
,,,,Privacy,Biology
,,,,Biology,Privacy
,,,,Technology,Neurology
,,,,Self,Neurology
,,,,Science,Neurology
,,,,Psychology,Neurology
,,,,Philosophy,Neurology
,,,,Neurology,Technology
,,,,Neurology,Self
,,,,Neurology,Science
,,,,Neurology,Psychology
